place,x,z
初期スポーン地点,-87,-178
拠点ネザーゲート,-206,-393
夏祭り会場ネザーゲート,-2868,-988
エンドポータル前ネザーゲート,52,-1722
岩盤上行きネザーゲート,-2,30
メサ拠点ネザーゲート,666,-21551
ジャングルネザーゲート,-568,1186
エンドポータル,39,-1722
花芽すみれ邸1,-180,-432
花芽すみれ邸2,-109,-571
花芽なずな邸1,-45,-342
花芽なずな邸2,-120,-307
小雀とと邸,-273,193
一ノ瀬うるは邸,-245,-420
胡桃のあ邸,-173,-332
胡桃のあ邸2,-273,-406
兎咲ミミ邸,-345,-603
橘ひなの邸,-238,-286
橘ひなの邸2(猫汰つな邸),-168,-408
神成きゅぴ邸,-102,-340
八雲べに邸,-300,-377
藍沢エマ邸1,-323,-309
藍沢エマ邸2,-301,-316
如月れん邸,-178,-279
空澄セナ邸,-225,-498
ツリーハウス,-321,-398
タワマン,-347,-459
白波らむね邸,-365,-761
小森めと邸,-280,-476
紫宮るな地下拠点入口,-2818,-1101
交易所,-112,-420
道具系村人交易所,-148,-400
火薬トラップ,59,-1756
鉄トラップ,92,-1754
鉄トラップ横岩盤上行きネザーゲート,92,-1765
カエルライトトラップ地上側,9641,-19676
シュルカートラップ地上側,90,-10629
ゾンビスポナートラップ,-254,-222
ガーディアントラップ,3693,-2872
植林場,12,-324
水中都市,464,-9578
病院,-159,-303
学校,-168,-531
シュガちゃん/しらたま像,-410,-763
たまご型モダンハウス,-284,-438
白い平屋の建物,-247,-377
スノードーム,-16,-426
クリスマスツリー,10,-386
雪だるま,40,-420
リース,51,-369
サンタの家,22,-445
三重塔,-170,-358
羊牧場,-138,-259
地下羊牧場,-245,-345
花見会場,-392,-302
養蜂場,-256,-327
zoo,-113,-262
猿山,-119,-218
公衆トイレ,-190,-412
うんこ,-323,-270
love so sweet home,-320,-114
噴水公園,-72,-286
旧監獄,-147,-441
監獄,-150,-122
ビーコン塔,-182,-30
温泉,38,-544
気球,-270,-454
運営1(村人),-234,-476
橘ひなの倉庫,-212,-321
教会,-388,-452
フラワーショップ,-330,-330
ハートのエクステリア,-267,-421
水上広場,-250,-478
祇園エリア,-50,-700
交番,-232,-338
露天掘り会場,-257,-80
ヴァクドナルド,-300,-191
コンビニ,-300,-230
すみド,-375,-353
ブランチマイニング場入口(きゅぴ),-106,-327
ブランチマイニング場入口(すみれ),-14,-591
ブランチマイニング場入口2(すみれ),-153,-728
ブランチマイニング場入口(ミミ),-946,-698
海上ネザーゲート,-213,1768
夏祭りなずな迷路,-2659,-1004
夏祭り射的,-2884,-742
蜘蛛スポナー,-329,-268
ゾンビスポナー,23,-300
廃坑,-309,-302
廃坑,-68,-883
廃坑,8500,-22728
森の洋館,-31909,-8577
森の洋館付近ネザーゲート,-31938,-8366
森の洋館,24737,-13681
魔女の家,-1810,-1150
